RecordedDate,ResponseId,domain,Condition,understanding_pre_1,happy_pre_1,accuracy_post,accuracy_pre,understanding_post_1
2025-09-13 12:01:32,R_2IbHcIbwIxMFV26,phil,AI,35,73,0.7,0.2,9
2025-09-13 12:06:58,R_10vGvDjDel2UGDj,phil,AI,28,74,0.6,0.4,35
2025-09-13 12:08:06,R_81cDeR61nNOkHcB,phil,AI,27,72,0.4,0.4,20
2025-09-13 12:08:47,R_8TN0dFAL0ks1AJX,phil,AI,11,55,0.8,0.5,27
2025-09-13 12:09:33,R_75f5awT0gIGz1Hr,phil,AI,37,33,0.9,0.5,43
2025-09-13 12:09:52,R_3aySnV9HCxrrmxO,phil,AI,39,37,0.7,0.7,44
2025-09-13 12:10:05,R_2aawEthpmO5w3Q8,phil,AI,36,20,0.7,0.7,23
2025-09-13 12:10:21,R_2TmGfiIO38XgrND,phil,AI,48,100,0.3,0.2,18
2025-09-13 12:13:08,R_1Qo0osvYdP9Bn8M,phil,AI,55,64,0.7,0.7,42
2025-09-13 12:13:39,R_2hSxFmnOWoOABm1,phil,AI,41,48,0.7,0.7,42
2025-09-13 12:17:26,R_7JIx1FlEwVLuIiy,phil,AI,60,35,0.8,0.7,40
2025-09-13 12:18:19,R_1sXskViNU5vBzre,phil,AI,63,76,0.9,0.6,42
2025-09-13 12:21:09,R_8oHHDiDC54Omox3,phil,AI,73,74,0.7,0.7,51
2025-09-13 12:21:42,R_54Je1LDv7Q4n8kW,phil,AI,40,86,1,0.6,29
2025-09-13 12:21:51,R_5Jy2Y1fQKm7haMX,phil,AI,23,68,0.2,0.5,1
2025-09-13 12:22:37,R_8MmzyagKr5LWTXR,phil,AI,48,32,0.5,0.4,32
2025-09-13 12:22:45,R_251ULsAv4aQbPvr,phil,AI,33,89,0.3,0.7,32
2025-09-13 12:23:59,R_20CAfvnJu5RNm4X,phil,AI,48,36,0.6,0.3,46
2025-09-13 12:24:08,R_8z5v3NQG8x5bNtq,phil,AI,26,62,0.4,0.4,0
2025-09-13 12:24:51,R_8H0RYbUDmwEkLsT,phil,AI,63,37,0.8,0.6,41
2025-09-13 12:28:11,R_8uCIo1VAFQPW1rC,phil,AI,69,29,0.6,0.7,66
2025-09-13 12:32:08,R_56mhTvwRR1058oF,phil,AI,56,84,0.5,0.6,39
2025-09-13 12:34:32,R_2EtbkfIuBjQiL6k,phil,AI,50,52,0.7,0.6,53
2025-09-13 12:42:02,R_72zDNOLW6vdIhzf,phil,AI,67,66,0.2,0.5,62
2025-09-13 12:42:49,R_81zyt0RxoROjnKu,phil,AI,57,37,0.7,0.3,33
2025-09-13 12:47:18,R_2ksuZE0ABgHl4Kl,phil,AI,91,95,0.8,1,98
2025-09-13 12:50:38,R_32Rv2OYMD8YHIkA,phil,AI,58,79,0.4,0.6,53
2025-09-13 12:56:59,R_5fwXpczraCKE5HZ,phil,AI,100,100,0.6,0.9,100
2025-09-13 12:57:09,R_2qVwNJrvbwLBTtI,phil,AI,59,79,0.6,0.6,18
2025-09-13 13:18:57,R_3GNgdSJd2zUW80H,phil,AI,51,86,0.5,0.5,40
2025-09-15 03:28:06,R_26fOW9RFwD52fbv,phil,AI,25,51,0.3,0.3,0
2025-09-15 03:29:11,R_2X7NkIdmnOyVPH0,phil,AI,9,52,0.9,0.7,3
2025-09-15 03:30:56,R_8zVURUoUdXkjV0B,phil,AI,52,70,0.6,0.4,20
2025-09-15 03:31:01,R_2mFvUCaMtYCGOQV,phil,AI,60,54,0.6,0.3,38
2025-09-15 03:31:07,R_2HBmugIL1YQfuKo,phil,AI,24,37,0.9,0.3,36
2025-09-15 03:31:26,R_21G99eWCOgsJQg9,phil,AI,6,79,0.8,0.2,29
2025-09-15 03:32:34,R_2fcT7rinH8ahnmv,phil,AI,62,51,0.9,0.4,58
2025-09-15 03:33:07,R_2eaInZCj1xa2Rzj,phil,AI,80,72,0.5,0.1,33
2025-09-15 03:33:15,R_82j4ESMSbcTHXX3,phil,AI,47,55,0.4,0.5,35
2025-09-15 03:33:36,R_2r2QaPYZQoYOcMP,phil,AI,69,62,0.7,0.6,37
2025-09-15 03:34:25,R_2iwYZVvrQWDEBLb,phil,AI,56,75,0.6,0.4,22
2025-09-15 03:34:40,R_3SAhNY6gQx48Mki,phil,AI,69,78,0.7,0.4,26
2025-09-15 03:36:12,R_2PGYzJFt9yW2NJz,phil,AI,54,58,0.7,0.6,63
2025-09-15 03:37:38,R_6BRvBUXcBpBbilr,phil,AI,41,2,0.9,0.5,5
2025-09-15 03:38:14,R_8vZc9oCnFx1MH69,phil,AI,61,0,0.5,0.5,58
2025-09-15 03:38:15,R_2xV8kBFura79rep,phil,AI,47,88,0.5,0.6,3
2025-09-15 03:40:31,R_6wRK8TtSXLlnSy5,phil,AI,19,96,0.2,0.3,19
2025-09-15 03:41:32,R_8GmCMvBxxbfQxTb,phil,AI,23,65,0.7,0.2,27
2025-09-15 03:41:44,R_2KrUd08VkacZoKM,phil,AI,22,100,0.5,0.6,37
2025-09-15 03:41:59,R_8ErTgVE8regnbFw,phil,AI,28,68,0.6,0.5,15
2025-09-15 03:42:07,R_2GUmbbp4TgDnhW4,phil,AI,29,79,0.8,0.7,25
2025-09-15 03:42:18,R_2XuHl9Phb0DrIcx,phil,AI,68,9,0.9,0.7,21
2025-09-15 03:42:32,R_8DZ8tNBBmOkhWGv,phil,AI,53,86,0.4,0.6,37
2025-09-15 03:43:08,R_811ilT7O4Pbqof8,phil,AI,47,57,0.6,0.3,44
2025-09-15 03:44:53,R_8pigKyNRO5dlumZ,phil,AI,41,57,0.6,0.3,35
2025-09-15 03:50:32,R_8IfgMqtM8AbI9zz,phil,AI,89,100,0.6,0.6,79
2025-09-15 03:52:07,R_8M0CnA4N8ZOF81G,phil,AI,29,60,0.9,0.5,37
2025-09-15 03:55:50,R_2Y1jkh3R2Nayyzv,phil,AI,55,52,0.8,0.7,55
2025-09-15 03:56:48,R_8WByJiYTLEmSsuE,phil,AI,1,57,0.3,0.6,1
2025-09-15 04:09:15,R_2L0CxX2pNbvANWe,phil,AI,16,25,0.8,0.4,4
2025-09-16 08:36:38,R_8lMmGPcLrXQJcR6,phil,AI,56,35,0.5,0.6,49
2025-09-16 08:39:32,R_8o9wdpdhy6lPRrX,phil,AI,43,28,0.8,0.4,30
2025-09-16 08:39:40,R_2Cm5WIXH5KWRlOF,phil,AI,7,81,0.4,0.6,49
2025-09-16 08:41:58,R_1nOYOqGhKUuxwcN,phil,AI,27,82,0.6,0,18
2025-09-16 08:42:07,R_2eM4lVOeDi2fnTf,phil,AI,48,76,0.7,0.7,19
2025-09-16 08:42:41,R_22Wvzp5QEiOktbj,phil,AI,72,100,0.5,0.5,78
2025-09-16 08:43:16,R_8mv0W9yCJ7rAARX,phil,AI,39,77,1,0.6,32
2025-09-16 08:44:21,R_8aFyCVccAHkEuAd,phil,AI,51,63,0.7,0.6,15
2025-09-16 08:44:39,R_2ozk4014FUrSKHL,phil,AI,27,51,0.3,0.5,19
2025-09-16 08:44:51,R_2rNtfSzsXqZLagl,phil,AI,35,19,0.9,0.7,34
2025-09-16 08:45:04,R_20SnSjNka5lGgsu,phil,AI,37,77,0.8,0.7,53
2025-09-16 08:46:42,R_2Qt3rdcqwJoiFLX,phil,AI,31,75,0.7,0.6,76
2025-09-16 08:50:55,R_6O7aMaLHrvuZdBx,phil,AI,48,25,0.5,0.4,25
2025-09-16 08:51:18,R_2IEFDsBEYWdGY9P,phil,AI,48,86,0.9,0.5,20
2025-09-16 08:53:08,R_8B2PfiM9hoQVWzh,phil,AI,49,51,0.6,0.4,19
2025-09-16 08:53:25,R_8CO8m5TgT8ZXvcj,phil,AI,35,71,0.8,0.6,19
2025-09-16 08:53:57,R_8Ic60B0KlUeKH8d,phil,AI,38,58,0.7,0.5,13
2025-09-16 08:54:05,R_8E9qTpW9rLrcRgJ,phil,AI,48,58,0.5,0.7,29
2025-09-16 08:54:14,R_8jJNaW5qe6HkKLk,phil,AI,66,64,0.6,0.4,51
2025-09-16 08:55:11,R_6BFhTp0yECVxXwt,phil,AI,60,82,0.4,0.6,36
2025-09-16 08:56:37,R_8gdW7lutCV6h9lJ,phil,AI,79,64,0.9,0.7,57
2025-09-16 09:03:12,R_2dyRUJDtz1ojPco,phil,AI,21,59,0.4,0.4,10
2025-09-16 09:03:39,R_8QJRR8x7ZReOQew,phil,AI,23,35,0.5,0.5,33
2025-09-16 09:06:11,R_2ZCEQckTmhNOXpE,phil,AI,42,26,0.6,0.5,15
2025-09-16 09:07:15,R_2NJ9RpUSI6zdj3p,phil,AI,33,78,0.8,0.5,35
2025-09-16 09:07:29,R_8v5u1oWWY4qox6V,phil,AI,0,28,0.7,0.6,11
2025-09-16 09:10:45,R_2Ngq2rOtdKwFoDx,phil,AI,31,81,0.8,0.4,0
2025-09-16 09:12:01,R_2fxuKw7mSgKd0LM,phil,AI,20,58,0.8,0.5,54
2025-09-16 09:13:37,R_87Jvbh8Smuj1GYw,phil,AI,50,29,0.5,0.2,27
2025-09-16 09:13:58,R_2kFIl0ecFJFQV25,phil,AI,31,16,0.6,0.2,9
2025-09-16 09:14:48,R_22ter5HuKss5TXv,phil,AI,60,63,0.9,0.6,61
2025-09-16 09:16:08,R_7Ihfi1VLqFbbLgO,phil,AI,71,87,0.3,0.7,77
2025-09-16 09:16:34,R_8p4I0qaTAPvAamB,phil,AI,31,60,0.9,0.4,43
2025-09-16 09:17:52,R_3zoNwy2UU7c9hlc,phil,AI,65,19,0.9,0.7,65
2025-09-16 09:17:59,R_22qXWnT01kuTVWt,phil,AI,72,58,0.5,0.4,43
2025-09-16 09:20:30,R_5O8rBpEWtzcCFYE,phil,AI,74,76,0.6,0.8,60
2025-09-16 09:23:35,R_28FCpEnVXQ51iAD,phil,AI,51,82,0.9,0.9,60
2025-09-16 09:35:04,R_8nQ5HLQoRT91BJo,phil,AI,85,100,0.6,0.7,71
2025-09-16 09:48:37,R_8ehnmmUEKy8VuGU,phil,AI,32,63,1,0.6,65
2025-09-16 10:30:50,R_2hJV50NCNM7y5KK,phil,AI,3,86,0.3,0.4,9
2025-09-26 15:26:57,R_1zyEOY0J9v7vZSN,phil,No,59,81,0.7,0.6,60
2025-09-26 15:30:21,R_8CH7MydUdQnVyoJ,phil,No,54,79,0.6,0.5,32
2025-09-26 15:30:50,R_2ariSrKhrai7G0z,phil,No,65,68,0.3,0.6,42
2025-09-26 15:32:10,R_6ay5b9rUEX3uMAy,phil,No,19,76,0.5,0.5,11
2025-09-26 15:32:52,R_3BIK5bmLp1UrwZ3,phil,No,67,51,0.7,0.8,5
2025-09-26 15:33:05,R_8H2Frm1GRURArTi,phil,No,77,87,0.5,0.3,0
2025-09-26 15:33:05,R_8rVp3QSOP3AzMfZ,phil,No,23,60,0.4,0.6,1
2025-09-26 15:33:49,R_6x6jIuIT5ZSFQmR,phil,No,61,85,0.4,0.2,60
2025-09-26 15:34:26,R_8gri4dUy6H5QtX3,phil,No,56,73,0.9,0.9,50
2025-09-26 15:36:12,R_61XU7nqHvbnE9mH,phil,No,36,49,0.5,0.5,3
2025-09-26 15:37:29,R_1EM3kIUlA2gWsE1,phil,No,58,39,0.3,0.7,26
2025-09-26 15:38:13,R_6ATcmpgLdU3l1Ch,phil,No,77,58,0.8,0.7,39
2025-09-26 15:39:22,R_20PeH5Llt4ETlbF,phil,No,51,66,0.5,0.5,47
2025-09-26 15:39:28,R_2lFhuCwG6vrcJ1j,phil,No,59,69,0.6,0.7,42
2025-09-26 15:39:48,R_1QtctLa72wlZD2P,phil,No,81,65,0.9,0.7,65
2025-09-26 15:40:56,R_6egJiW2CFWZqm0V,phil,No,61,61,0.8,0.5,27
2025-09-26 15:41:31,R_2n89jrRGzF8pSqT,phil,No,16,81,0.6,0.5,0
2025-09-26 15:42:02,R_7TQUKVvAsdSBZ9a,phil,No,66,55,0.6,0.5,21
2025-09-26 15:42:23,R_8LtfQ3hlxARCfSJ,phil,No,54,79,0.2,0.4,27
2025-09-26 15:43:07,R_8nVN2IqPdb15hRL,phil,No,18,76,0.3,0.6,7
2025-09-26 15:43:33,R_2MPQxozeSALjYco,phil,No,5,72,0.6,0.7,0
2025-09-26 15:44:32,R_8S5G9nR3hW09TqN,phil,No,33,99,0.6,0.7,100
2025-09-26 15:45:28,R_2VlQwWjCWsWuI6x,phil,No,51,78,0.9,0.8,74
2025-09-26 15:45:36,R_8wQzlKNxCXMPveK,phil,No,72,74,0.3,0.9,50
2025-09-26 15:45:38,R_5HNDvQPNgcygGxH,phil,No,29,78,0.1,0.7,36
2025-09-26 15:46:20,R_2frUKLtuwHrgXfP,phil,No,12,64,0.8,0.7,11
2025-09-26 15:47:08,R_7CaJ0y92nVZQDK1,phil,No,65,93,0.7,0.6,40
2025-09-26 15:47:57,R_8lJOr97rbCNwTJn,phil,No,47,83,0.5,0.4,2
2025-09-26 15:49:39,R_8ypItsA0tY06l9d,phil,No,52,95,0.4,0.4,14
2025-09-26 15:52:01,R_2qgJ0OnyV5TT5QQ,phil,No,81,56,0.3,0.4,45
2025-09-26 15:52:50,R_1TWNQFURftFDC6Q,phil,No,68,90,0.4,0.7,11
2025-09-26 15:54:27,R_2FKii4iFNF5r4zO,phil,No,52,67,0.4,0.5,9
2025-09-26 15:58:49,R_2fT7juK2VGsSWU2,phil,No,35,58,0.5,0.4,31
2025-09-26 15:59:15,R_8aCCeVX142Shn4B,phil,No,17,52,0.7,0.5,5
2025-09-26 16:03:26,R_3QDgDliOEVgJ7ba,phil,No,3,60,0.2,0.5,1
2025-09-26 16:03:40,R_8mF6XFbxyrNNI2d,phil,No,51,62,0.6,0.2,2
2025-09-26 16:03:42,R_8EcZnJLikO1IDVj,phil,No,46,66,0.3,0.4,0
2025-09-26 16:03:57,R_7e4jtLjXSrO9f9s,phil,No,24,32,0.8,0.9,20
2025-09-26 16:04:03,R_8exfRH6e7bvVRmA,phil,No,72,93,0.5,0.3,80
2025-09-26 16:04:28,R_6WHaUrGlL8nUnkk,phil,No,62,25,0.5,0.6,36
2025-09-26 16:04:43,R_8L6EMrfW7IUGVI2,phil,No,48,84,0.7,0.6,57
2025-09-26 16:04:53,R_8dGR8YwnQ4Sx7jW,phil,No,39,58,0.7,0.6,7
2025-09-26 16:07:20,R_8Nn0RD57SJtjsVf,phil,No,20,58,0.5,0.5,2
2025-09-26 16:08:22,R_8S8G5TF6FSa54Uj,phil,No,10,73,0.6,0.3,15
2025-09-26 16:09:06,R_8tym85RuhydyRNv,phil,No,50,63,0.6,0.8,33
2025-09-26 16:09:15,R_6QPPj57uwPOBqKk,phil,No,81,26,0.5,0.2,49
2025-09-26 16:11:08,R_2YNprC5YzehSig9,phil,No,57,44,0.9,0.7,46
2025-09-26 16:11:13,R_2o7mB1NVmQEq8Dr,phil,No,54,44,0.7,0.3,40
2025-09-26 16:12:32,R_253Iqg28ZcHPAtz,phil,No,26,47,0.5,0.5,8
2025-09-26 16:13:53,R_1yypNhhSsEJUQE1,phil,No,46,57,0.6,0.5,2
2025-09-26 16:14:11,R_3p11hUxBMYymRKF,phil,No,69,69,0.7,0.6,27
2025-09-26 16:15:12,R_2c7rFLhNrMyYDqq,phil,No,64,78,0.8,0.4,58
2025-09-26 16:15:44,R_2n1bwuPBRTUwqPC,phil,No,27,49,0.6,0.5,25
