StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,Prolific ID,Consent_3,Age,Gender,Ethnicity,Education,Income,happy_pre_1,understanding_pre_1,Q1_pre,Q1_confi_pre_1,attention_slider_1_1,Q2_pre,Q2_confi_pre_1,Q3_pre,Q3_confi_pre_1,Q4_pre,Q4_confi_pre_1,Q5_pre,Q5_confi_pre_1,Q6_pre,Q6_confi_pre_1,Q7_pre,Q7_confi_pre_1,Q8_pre,Q8_confi_pre_1,Q9_pre,Q9_confi_pre_1,Q10_pre,Q10_confi_pre_1,confidence_1_1,Q1_post,Q1_confi_1,Q1_learn_1,Q2_post,Q2_confi_1,Q2_learn_1,Q3_post,Q3_confi_1,Q3_learn_1,Q4_post,Q4_confi_1,Q4_learn_1,Q5_post,Q5_confi_1,Q5_learn_1,Q6_post,Q6_confi_1,Q6_learn_1,Q7_post,Q7_confi_1,Q7_learn_1,Q8_post,Q8_confi_1,Q8_learn_1,Q9_post,Q9_confi_1,Q9_learn_1,Q10_post,Q10_confi_1,attention_slider_2_1,Q10_learn_1,Confidence_2_1,happy_post_1,understanding_post_1,helpful_1,attention_slider_3_1,empathetic_1,polite_1,blunt_1,confrontational_1,interest_post_1,Q279,Q280,Q281,condition
2025-11-12 05:49:52,2025-11-12 06:07:54,0,100,1082,1,2025-11-12 06:07:55,R_2w6kB7uABktpcDD,6009f30d89becb1172102508,4,33,1,1,6,4,92,40,2,7,100,2,25,1,22,1,20,2,23,3,24,3,29,1,21,2,24,1,21,41,3,42,92,3,37,92,2,25,92,1,25,86,3,27,89,3,24,88,3,25,90,1,25,89,1,84,92,2,35,0,90,31,88,13,73,50,95,100,53,0,95,"It was encouraging feedback, which even when i answered wrong, made me feel like I could understand the philosophy with more learning ","how AI interaction (e.g., positive, encouraging, empathetic) affects one feeling or performance",no,syco
2025-11-12 05:56:21,2025-11-12 06:08:12,0,100,710,1,2025-11-12 06:08:12,R_2kYtvXIiDdG9TfR,66d1d1c3e75fc3f59ec10076,4,45,2,1,5,3,50,38,3,17,100,1,6,1,5,3,27,3,8,1,4,3,4,1,8,2,8,1,6,60,1,35,17,1,13,23,1,43,23,2,15,18,1,12,22,1,11,12,2,9,15,3,25,12,1,11,21,1,13,0,16,41,43,44,53,49,100,100,2,2,42,It got me thinking more about the concepts,if I could learn anything from the AI feedback,no,syco
2025-11-12 05:53:39,2025-11-12 06:09:00,0,100,921,1,2025-11-12 06:09:01,R_264kb4NtFQTqQLO,676a9b211664b1f6c32244af,4,45,1,8,3,1,48,25,3,25,100,2,0,2,1,3,70,1,22,1,2,3,23,1,0,1,62,1,5,60,3,51,25,1,14,4,3,26,12,3,58,27,1,64,46,3,57,30,3,41,12,1,100,16,1,82,44,2,42,12,23,60,51,3,89,51,69,72,62,0,0,Yes - I trust AI's answers,Influence of AI in decision making,This was a good study,syco
2025-11-12 05:52:17,2025-11-12 06:09:43,0,100,1045,1,2025-11-12 06:09:44,R_8bP4gPw9zkzGWNM,6777fc50f16a1bc11113d41e,4,53,2,1,3,2,71,56,3,41,100,3,9,1,0,1,26,1,17,2,3,3,73,1,10,2,19,3,0,60,3,27,92,1,12,67,2,16,39,3,4,72,1,62,61,1,17,52,2,77,90,3,10,78,2,29,63,1,13,0,29,31,75,51,84,49,98,100,0,0,0,"It's friendly so makes me feel like I'm learning something and even if I get it wrong, it's ok.",Good question!  The ways in which the questions were asked?,"The first 10 felt easier to me as I was guessing a lot of them.  They were worded easier to understand.  It was fun though, thank you!",syco
2025-11-12 05:57:48,2025-11-12 06:13:20,0,100,931,1,2025-11-12 06:13:20,R_2IYuP0CieFepBiT,6697f7b49904912f1cbee3dd,4,57,1,1,4,5,75,27,3,48,100,2,0,1,13,3,22,1,18,1,19,3,3,1,2,2,17,1,0,60,1,32,79,3,25,79,1,52,77,1,26,81,1,91,74,1,84,71,3,4,76,1,27,76,1,24,78,2,22,76,72,31,68,6,83,50,72,94,10,7,71,Yes it has taught me some new things that I didn't know,How good the AI is at assessing people's answers,I enjoyed doing this survey. Thank you,syco
2025-11-12 05:49:12,2025-11-12 06:13:30,0,100,1457,1,2025-11-12 06:13:31,R_8ek83EOM9UUojGe,6761936cd42ea657c0bce1af,4,25,2,1,3,2,90,37,3,22,100,1,21,1,100,1,22,3,19,3,20,3,24,1,24,3,18,3,25,31,3,51,100,1,49,100,1,100,100,1,72,100,2,48,100,1,73,100,2,32,100,1,50,100,1,76,100,2,36,0,100,51,93,38,17,49,39,87,33,0,65,"It gave a bit more information around the answer I chose and the correct answer, but not enough for me to understand much more about the topic",How positive/negative feedback influences test scores,I thought this was about philosophy and not art history,syco
2025-11-12 05:54:42,2025-11-12 06:14:50,0,100,1208,1,2025-11-12 06:14:51,R_2zJlSQybDtnYRiN,65e4a6bdde84e615dcac2651,4,32,2,1,3,3,77,15,2,0,100,3,0,1,47,1,0,3,0,1,0,3,4,1,0,2,9,1,0,31,3,0,0,3,0,0,1,52,0,3,78,0,1,0,0,1,0,0,3,19,0,1,49,0,1,50,0,2,0,0,0,21,79,3,43,50,100,100,35,0,0,"It's made me realise how complicated philosophy is, which I didn't realise before.",Memory around retaining new information,None,syco
2025-11-12 06:04:59,2025-11-12 06:16:01,0,100,662,1,2025-11-12 06:16:02,R_8Hql6em8acqTsyr,67efcad870129b5d1f122c8d,4,56,1,1,5,4,90,27,4,0,100,3,0,3,0,3,0,2,0,2,0,3,0,2,0,3,0,1,0,31,1,0,0,1,0,0,2,0,0,1,0,0,2,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,0,31,87,3,4,51,73,85,63,21,0,"Honestly, I'm not very interested in philosophy so the AI didnt really interest me.",AI text,,syco
2025-11-12 05:54:07,2025-11-12 06:18:33,0,100,1465,1,2025-11-12 06:18:34,R_8tajFfTs9QIEyvQ,66e45ae0b33ea291752c02a5,4,58,2,1,3,2,80,47,2,0,100,1,0,1,22,3,3,1,0,2,0,3,0,1,0,2,0,1,0,21,3,0,100,3,1,100,1,23,100,3,0,100,1,6,100,2,0,100,3,0,100,1,23,100,1,0,100,3,0,100,100,11,49,5,91,49,98,100,10,0,100,It gave me information that I did not have and helped me understand.,If AI is a helpful and trustworthy tool in learning.,Good luck with your study.,syco
2025-11-12 05:59:38,2025-11-12 06:20:41,0,100,1263,1,2025-11-12 06:20:42,R_2Lhv6zj4aNX7tfk,634689b708cc8c54b0ac8f9d,4,42,1,1,4,6,65,30,3,69,100,3,23,1,69,1,79,1,61,2,25,3,57,1,46,1,50,2,24,60,1,92,64,3,25,78,3,20,51,1,25,67,1,67,76,2,32,50,2,40,65,1,90,58,1,80,69,3,38,61,70,41,69,31,58,50,75,87,13,9,23,"Not much, if at all, other than giving a little extra detail on the topic",Positive reinforcement of the overly pandering AI?,,syco
