StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Prolific ID,Consent_3,attention_sun,Q1_A_rating_1,Q1_A_rating_2,Q1_A_rating_3,Q1_A_rating_4,Q1_A_rating_5,Q1_A_rating_6,Q1_A_rating_7,Q1_A_rating_8,Q1_A_rating_9,Q1_B_rating_1,Q1_B_rating_2,Q1_B_rating_3,Q1_B_rating_4,Q1_B_rating_5,Q1_B_rating_6,Q1_B_rating_7,Q1_B_rating_8,Q1_C_rating_1,Q1_C_rating_2,Q1_C_rating_3,Q1_C_rating_4,Q1_C_rating_5,Q1_C_rating_6,Q1_C_rating_7,Q1_C_rating_8,Q2_A_rating_1,Q2_A_rating_2,Q2_A_rating_3,Q2_A_rating_4,Q2_A_rating_5,Q2_A_rating_6,Q2_A_rating_7,Q2_A_rating_8,Q2_B_rating_1,Q2_B_rating_2,Q2_B_rating_3,Q2_B_rating_4,Q2_B_rating_5,Q2_B_rating_6,Q2_B_rating_7,Q2_B_rating_8,Q2_C_rating_1,Q2_C_rating_2,Q2_C_rating_3,Q2_C_rating_4,Q2_C_rating_5,Q2_C_rating_6,Q2_C_rating_7,Q2_C_rating_8,Q3_A_rating_1,Q3_A_rating_2,Q3_A_rating_3,Q3_A_rating_4,Q3_A_rating_5,Q3_A_rating_6,Q3_A_rating_7,Q3_A_rating_8,Q3_B_rating_1,Q3_B_rating_2,Q3_B_rating_3,Q3_B_rating_4,Q3_B_rating_5,Q3_B_rating_6,Q3_B_rating_7,Q3_B_rating_8,Q3_C_rating_1,Q3_C_rating_2,Q3_C_rating_3,Q3_C_rating_4,Q3_C_rating_5,Q3_C_rating_6,Q3_C_rating_7,Q3_C_rating_8,Q4_A_rating_1,Q4_A_rating_2,Q4_A_rating_3,Q4_A_rating_4,Q4_A_rating_5,Q4_A_rating_6,Q4_A_rating_7,Q4_A_rating_8,Q4_B_rating_1,Q4_B_rating_2,Q4_B_rating_3,Q4_B_rating_4,Q4_B_rating_5,Q4_B_rating_6,Q4_B_rating_7,Q4_B_rating_8,Q4_C_rating_1,Q4_C_rating_2,Q4_C_rating_3,Q4_C_rating_4,Q4_C_rating_5,Q4_C_rating_6,Q4_C_rating_7,Q4_C_rating_8,Q5_A_rating_1,Q5_A_rating_2,Q5_A_rating_3,Q5_A_rating_4,Q5_A_rating_5,Q5_A_rating_6,Q5_A_rating_7,Q5_A_rating_8,Q5_A_rating_9,Q5_B_rating_1,Q5_B_rating_2,Q5_B_rating_3,Q5_B_rating_4,Q5_B_rating_5,Q5_B_rating_6,Q5_B_rating_7,Q5_B_rating_8,Q5_C_rating_1,Q5_C_rating_2,Q5_C_rating_3,Q5_C_rating_4,Q5_C_rating_5,Q5_C_rating_6,Q5_C_rating_7,Q5_C_rating_8,Q6_A_rating_1,Q6_A_rating_2,Q6_A_rating_3,Q6_A_rating_4,Q6_A_rating_5,Q6_A_rating_6,Q6_A_rating_7,Q6_A_rating_8,Q6_B_rating_1,Q6_B_rating_2,Q6_B_rating_3,Q6_B_rating_4,Q6_B_rating_5,Q6_B_rating_6,Q6_B_rating_7,Q6_B_rating_8,Q6_C_rating_1,Q6_C_rating_2,Q6_C_rating_3,Q6_C_rating_4,Q6_C_rating_5,Q6_C_rating_6,Q6_C_rating_7,Q6_C_rating_8,Q7_A_rating_1,Q7_A_rating_2,Q7_A_rating_3,Q7_A_rating_4,Q7_A_rating_5,Q7_A_rating_6,Q7_A_rating_7,Q7_A_rating_8,Q7_B_rating_1,Q7_B_rating_2,Q7_B_rating_3,Q7_B_rating_4,Q7_B_rating_5,Q7_B_rating_6,Q7_B_rating_7,Q7_B_rating_8,Q7_C_rating_1,Q7_C_rating_2,Q7_C_rating_3,Q7_C_rating_4,Q7_C_rating_5,Q7_C_rating_6,Q7_C_rating_7,Q7_C_rating_8,Q8_A_rating_1,Q8_A_rating_2,Q8_A_rating_3,Q8_A_rating_4,Q8_A_rating_5,Q8_A_rating_6,Q8_A_rating_7,Q8_A_rating_8,Q8_B_rating_1,Q8_B_rating_2,Q8_B_rating_3,Q8_B_rating_4,Q8_B_rating_5,Q8_B_rating_6,Q8_B_rating_7,Q8_B_rating_8,Q8_C_rating_1,Q8_C_rating_2,Q8_C_rating_3,Q8_C_rating_4,Q8_C_rating_5,Q8_C_rating_6,Q8_C_rating_7,Q8_C_rating_8,Q9_A_rating_1,Q9_A_rating_2,Q9_A_rating_3,Q9_A_rating_4,Q9_A_rating_5,Q9_A_rating_6,Q9_A_rating_7,Q9_A_rating_8,Q9_B_rating_1,Q9_B_rating_2,Q9_B_rating_3,Q9_B_rating_4,Q9_B_rating_5,Q9_B_rating_6,Q9_B_rating_7,Q9_B_rating_8,Q9_C_rating_1,Q9_C_rating_2,Q9_C_rating_3,Q9_C_rating_4,Q9_C_rating_5,Q9_C_rating_6,Q9_C_rating_7,Q9_C_rating_8,Q10_A_rating_1,Q10_A_rating_2,Q10_A_rating_3,Q10_A_rating_4,Q10_A_rating_5,Q10_A_rating_6,Q10_A_rating_7,Q10_A_rating_8,Q10_A_rating_9,Q10_B_rating_1,Q10_B_rating_2,Q10_B_rating_3,Q10_B_rating_4,Q10_B_rating_5,Q10_B_rating_6,Q10_B_rating_7,Q10_B_rating_8,Q10_C_rating_1,Q10_C_rating_2,Q10_C_rating_3,Q10_C_rating_4,Q10_C_rating_5,Q10_C_rating_6,Q10_C_rating_7,Q10_C_rating_8,Age,Gender,Ethnicity,Education,Income,testing,feedback,PROLIFIC_PID,version
2026-06-30 09:08:06,2026-06-30 09:29:57,0,*******,100,1311,1,2026-06-30 09:29:58,R_2sPmqv5PblckHh7,*******,*******,*******,*******,*******,*******,anonymous,EN,6a0c2b8a6827ece3df5b621a,4,1,5,1,1,3,5,4,5,4,5,1,5,5,3,4,4,3,4,1,5,5,1,1,1,1,1,5,1,1,1,1,1,1,1,1,5,5,3,4,4,4,3,1,5,5,1,1,1,1,1,5,1,1,4,4,4,4,4,1,5,4,1,1,1,1,1,1,5,5,3,4,3,4,4,5,1,1,3,3,4,4,3,1,5,5,1,1,1,1,1,1,5,4,4,3,3,4,3,5,1,1,1,1,1,1,1,1,1,1,5,3,4,5,4,4,1,5,4,2,2,2,3,2,5,1,3,1,1,1,1,1,1,5,5,2,2,2,1,2,3,3,3,3,3,3,3,3,5,1,1,3,3,3,3,4,3,3,3,3,3,3,3,3,1,5,5,3,4,4,4,4,5,1,1,3,3,4,4,4,1,5,5,1,1,1,1,1,1,5,5,3,5,5,4,4,5,1,1,3,3,4,4,4,1,5,4,1,1,1,1,1,1,5,5,3,4,3,4,4,5,1,2,2,1,2,1,1,1,3,3,3,3,3,3,3,3,1,5,5,3,3,3,3,3,52,1,1,4,3,AI and how it answered,,6a0c2b8a6827ece3df5b621a,X
2026-06-30 09:02:39,2026-06-30 09:30:40,0,*******,100,1681,1,2026-06-30 09:30:41,R_2i2nDEyzvR6jDmO,*******,*******,*******,*******,*******,*******,anonymous,EN,69ff400990c633162697cef7,4,1,5,1,2,1,1,2,4,4,5,1,5,2,2,2,1,4,4,1,5,5,1,1,1,1,1,5,1,1,1,1,1,1,1,2,4,3,1,1,1,4,4,1,5,5,1,1,1,2,1,5,1,1,2,2,1,4,4,1,5,5,1,1,1,3,2,2,5,4,2,3,3,4,4,5,1,1,2,3,2,5,5,1,5,5,1,1,1,1,1,2,3,2,1,2,1,4,4,5,1,1,1,1,1,1,1,4,1,4,4,1,2,1,4,4,1,1,5,1,1,1,3,1,5,1,1,1,1,1,1,1,1,5,5,1,1,1,1,1,2,4,5,1,2,2,4,3,5,1,1,2,2,1,4,4,1,5,5,1,1,1,3,1,2,5,2,1,2,1,4,4,4,1,1,1,2,2,3,3,1,5,5,1,1,1,1,1,1,1,2,2,2,1,4,4,5,1,1,1,1,1,4,4,1,5,5,1,1,1,1,1,2,1,2,1,3,1,4,4,5,1,1,1,1,1,1,1,1,1,5,5,1,1,1,2,1,1,4,3,1,1,1,3,4,66,2,1,3,3,Peoples reaction to positive and negative feedback,,69ff400990c633162697cef7,X
2026-06-30 09:03:10,2026-06-30 09:31:21,0,*******,100,1690,1,2026-06-30 09:31:21,R_23CqpVFVYFnwn5L,*******,*******,*******,*******,*******,*******,anonymous,EN,6a21d937e17ad1170d7a91a6,4,1,4,2,4,1,1,1,1,1,5,1,5,5,1,1,1,1,1,3,3,1,4,5,5,4,4,5,1,1,5,5,4,5,5,2,5,5,1,1,1,1,1,3,4,2,2,3,3,4,4,4,2,3,1,1,1,1,1,2,3,2,4,4,4,4,4,1,5,5,1,1,1,1,1,4,2,3,1,1,1,1,1,2,4,4,5,5,5,5,5,1,5,5,1,1,1,1,1,5,1,1,5,5,5,5,5,4,1,5,4,1,1,1,1,1,4,4,2,4,4,4,4,4,5,1,1,5,5,5,5,5,2,4,2,3,3,4,3,3,2,4,4,1,1,1,2,3,3,3,3,1,1,1,1,1,2,4,2,2,3,2,4,3,1,5,1,1,1,2,1,1,5,1,1,4,4,4,4,4,2,3,3,4,4,4,4,4,1,5,5,1,1,1,1,1,4,2,4,1,1,1,1,1,2,4,1,2,3,2,3,4,1,5,5,1,1,1,1,1,5,1,1,4,4,4,5,4,1,3,4,2,4,4,3,4,4,2,4,4,1,1,1,2,1,21,2,2,3,1,If positive or negative feedback is received better,,6a21d937e17ad1170d7a91a6,Y
2026-06-30 09:02:43,2026-06-30 09:32:39,0,*******,100,1796,1,2026-06-30 09:32:40,R_31csTkxX0IvLkDL,*******,*******,*******,*******,*******,*******,anonymous,EN,6a07b72826b9b0ce1fe4fe23,4,1,4,1,4,1,1,1,1,4,5,1,5,4,1,1,1,4,4,2,4,3,1,1,3,3,3,5,1,1,3,4,4,5,5,1,4,3,1,1,1,1,3,4,2,2,2,3,3,3,3,3,2,3,1,1,1,2,4,3,4,3,2,3,3,4,4,1,5,5,1,1,1,1,1,3,1,2,1,1,1,1,2,4,4,4,2,1,3,3,2,1,4,4,1,1,1,1,2,5,1,1,3,4,4,4,4,4,1,5,3,1,1,1,1,3,4,3,3,1,1,1,5,3,5,1,1,1,1,1,4,4,2,4,2,1,2,2,3,3,1,4,3,1,1,1,1,2,4,2,2,1,1,1,4,1,2,4,3,1,1,1,2,3,1,5,3,1,1,1,1,2,4,1,1,3,2,2,4,3,4,2,2,1,3,3,4,3,2,4,4,1,1,1,2,2,4,1,1,1,1,1,1,4,3,4,3,1,4,4,4,4,1,4,3,1,1,1,1,3,5,1,1,2,1,2,4,4,1,4,4,1,3,3,4,4,3,1,5,3,1,1,1,2,2,32,2,7,4,3,perceptions of instructor feedback,,6a07b72826b9b0ce1fe4fe23,Y
2026-06-30 09:08:05,2026-06-30 09:33:58,0,*******,100,1553,1,2026-06-30 09:33:59,R_8jpSs3UuZD8BW9U,*******,*******,*******,*******,*******,*******,anonymous,EN,6a247a6d53f662475bd51af9,4,1,5,2,2,1,2,2,4,2,5,2,5,4,1,2,2,4,2,2,5,4,2,3,3,4,4,5,1,1,5,4,4,5,4,1,4,5,1,1,1,4,3,4,4,4,2,3,3,4,3,4,2,3,1,2,2,3,2,4,1,4,5,4,4,4,4,1,5,5,1,1,1,3,2,5,1,1,4,5,5,5,5,3,4,4,2,3,4,4,4,2,4,4,2,2,1,4,2,5,1,1,3,5,4,4,4,4,1,4,5,2,1,2,4,4,2,4,4,3,4,3,4,4,4,1,2,3,4,3,4,4,2,4,4,3,3,3,4,4,1,5,5,1,1,1,3,4,4,2,3,2,2,2,3,4,2,4,4,3,3,3,3,3,1,4,4,3,2,2,3,3,5,1,1,4,4,3,4,4,5,2,4,3,4,3,4,4,2,4,4,2,2,2,2,2,2,5,5,1,2,1,2,1,4,4,4,3,4,4,4,4,2,4,4,2,2,2,4,3,4,1,2,4,5,3,4,5,1,1,4,4,3,3,4,4,4,1,5,4,2,2,2,4,3,19,2,2,3,7,ability to process emotion,,6a247a6d53f662475bd51af9,Y
2026-06-30 09:12:08,2026-06-30 09:34:06,0,*******,100,1317,1,2026-06-30 09:34:06,R_8HQWK8CRcHXbJ9T,*******,*******,*******,*******,*******,*******,anonymous,EN,69fcef782d11d9b29973e124,4,1,4,1,2,2,2,5,4,4,5,4,4,4,2,4,4,4,4,2,5,5,2,2,2,2,2,2,4,4,2,2,2,3,3,4,3,4,2,4,4,4,4,1,4,4,1,1,1,4,1,4,2,1,4,5,4,4,5,2,5,4,2,2,2,2,2,4,3,4,3,3,4,4,4,4,2,2,4,4,4,4,4,2,5,5,1,2,2,2,3,4,3,2,2,4,4,4,5,4,4,4,3,4,4,3,3,3,4,2,3,3,4,4,2,4,2,4,4,2,2,2,4,2,3,4,4,2,2,2,3,2,2,5,4,4,2,2,4,3,4,4,4,2,4,4,4,4,4,2,2,2,4,4,4,4,2,5,5,1,1,1,1,2,4,4,4,3,4,3,4,4,1,5,4,2,2,1,2,2,2,4,4,2,2,2,4,2,4,2,4,3,4,4,4,4,4,2,3,2,4,5,4,4,1,5,5,1,1,1,4,3,4,2,4,4,4,4,4,4,3,3,3,1,4,3,3,4,1,2,5,5,2,2,2,2,2,3,4,4,1,4,4,4,4,28,1,1,4,4,ability to read information,,69fcef782d11d9b29973e124,X
2026-06-30 09:13:04,2026-06-30 09:34:51,0,*******,100,1306,1,2026-06-30 09:34:52,R_2LX8wEiujdWlCln,*******,*******,*******,*******,*******,*******,anonymous,EN,69fd600c0c7280f5ba94ca49,4,1,4,2,2,4,4,4,4,4,5,4,4,4,4,4,4,4,4,3,3,4,3,3,4,4,4,5,1,1,5,5,5,5,5,4,3,4,4,3,4,4,4,3,2,3,4,4,4,4,3,4,2,4,4,4,4,5,4,4,2,3,4,4,4,4,4,2,3,4,2,2,2,2,2,4,2,4,3,4,4,4,4,3,2,3,3,3,3,3,3,4,4,4,3,4,4,2,4,4,1,3,5,5,5,5,4,4,3,4,4,4,3,3,3,3,4,2,3,4,4,4,4,4,4,2,4,4,4,4,4,4,4,2,3,3,4,3,4,4,3,4,3,3,3,3,3,3,4,2,3,4,4,4,4,4,3,3,4,4,3,4,3,4,3,3,3,3,3,3,3,4,5,1,1,5,5,5,5,5,3,3,4,3,4,4,4,4,4,2,3,3,4,3,3,3,4,2,3,4,4,4,4,4,3,2,3,3,3,4,3,4,3,2,3,3,3,3,4,3,4,2,3,4,4,4,4,4,1,4,3,3,4,4,4,4,4,2,3,5,4,4,4,4,4,28,1,1,3,1,Testing to see if people agree with an answer already given before deciding themselves,,69fd600c0c7280f5ba94ca49,Y
2026-06-30 09:06:35,2026-06-30 09:35:29,0,*******,100,1733,1,2026-06-30 09:35:32,R_2dEQ0uJf55mt4re,*******,*******,*******,*******,*******,*******,anonymous,EN,6a212de4da14cf5d738c13fa,4,1,1,5,1,1,1,1,1,1,5,1,4,4,1,1,1,1,1,4,2,2,4,4,4,4,4,5,1,1,5,5,5,5,5,1,5,4,1,1,1,1,1,4,2,2,4,4,4,4,4,4,2,2,2,4,2,2,2,5,1,3,4,5,5,5,5,1,4,4,1,1,1,1,1,1,3,3,1,1,1,1,1,5,3,3,4,5,5,5,5,1,5,1,1,1,1,1,1,5,1,1,5,5,5,5,5,4,2,4,2,2,2,2,2,2,4,2,1,4,4,4,4,4,5,1,1,5,5,5,5,5,3,4,4,2,3,2,3,2,1,5,5,1,1,1,1,1,2,2,1,2,1,1,1,2,4,2,3,3,4,4,4,4,2,4,3,2,3,2,2,2,4,2,2,5,5,4,4,5,4,3,3,5,5,5,4,4,1,5,4,1,1,1,1,1,1,3,1,1,1,1,1,1,4,2,3,5,4,4,4,4,1,5,5,1,1,1,1,1,5,2,2,5,5,5,5,5,1,4,1,1,3,4,4,4,4,1,5,5,1,1,1,1,1,32,2,1,3,1,Model answers for AI 'chatbots' giving feedback to students,This survey took much longer than the stated 15 minutes so I think amending that would be appreciated by many.,6a212de4da14cf5d738c13fa,Y
2026-06-30 09:01:40,2026-06-30 09:37:08,0,*******,100,2127,1,2026-06-30 09:37:09,R_2McBA0Onw9Eom1T,*******,*******,*******,*******,*******,*******,anonymous,EN,6a0f1487dc6e8feadd601943,4,1,3,1,1,1,1,1,1,1,5,1,5,5,1,1,1,1,1,5,1,1,5,5,5,5,5,5,1,1,5,5,5,5,5,1,5,1,1,1,1,1,1,2,5,1,2,1,1,2,1,1,5,1,1,1,1,1,1,4,4,1,5,1,1,5,4,1,5,1,1,1,1,1,1,5,1,1,5,5,5,4,4,5,5,1,5,5,5,5,5,1,5,2,1,1,1,1,1,5,1,5,5,5,5,5,5,5,1,5,5,1,1,1,1,1,4,2,1,5,5,5,5,5,5,1,1,5,5,5,5,5,5,4,1,5,5,5,5,5,1,5,1,1,1,1,1,1,4,1,1,1,1,1,1,1,5,5,1,5,5,5,5,5,1,5,1,1,1,1,1,1,5,1,1,5,5,5,5,5,2,1,1,3,1,3,3,1,1,5,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,1,1,1,1,1,1,5,1,1,5,5,5,5,5,1,5,5,1,5,5,5,5,5,1,5,1,1,1,1,1,1,28,2,1,3,4,I think B was an AI generated response and you were testing how people would feel towards those responses,I think the reward for this study was a little low as it was time consuming,6a0f1487dc6e8feadd601943,Y
2026-06-30 09:06:43,2026-06-30 09:37:11,0,*******,100,1828,1,2026-06-30 09:37:13,R_8wnozpYqW74BSYU,*******,*******,*******,*******,*******,*******,anonymous,EN,6a0f680bfa320f0eedf03fac,4,1,4,2,2,3,4,3,4,4,5,3,4,2,3,3,3,4,4,1,5,5,1,1,1,3,3,4,2,2,2,2,2,2,3,3,4,3,3,3,3,4,4,2,4,4,2,2,2,3,3,4,2,1,3,3,3,4,4,2,4,4,2,2,2,3,3,2,4,4,3,4,4,4,4,4,2,2,3,3,3,4,4,1,5,5,1,1,1,3,3,3,4,4,3,3,3,4,4,4,2,2,2,2,2,3,3,4,2,2,4,2,3,3,4,3,2,4,4,2,2,2,3,3,4,1,2,1,1,1,3,3,1,5,2,1,1,1,3,3,3,4,3,3,3,3,4,4,4,2,2,3,4,3,4,4,2,4,4,1,2,1,4,3,2,4,4,2,3,3,4,4,4,2,2,2,2,2,3,2,1,4,4,1,2,1,4,4,3,4,4,2,3,3,4,4,5,2,1,3,4,3,5,5,1,5,5,1,1,1,2,2,3,4,4,3,4,3,4,4,4,2,2,2,2,2,3,3,1,2,4,4,1,2,1,2,2,2,4,4,3,4,3,4,4,55,2,1,4,2,The tone of the feedback and people's impression of it.,It felt like a long study.,6a0f680bfa320f0eedf03fac,X
